Index,Date_P##,Power1,Power2,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five,Thirty
,,Power1- L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty
OP Peak Threshold,0221_P01,-20,-23,-10,-5,-3,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OP Distance Between,,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OP Index 3rd Peak,,403,44,155,141,125,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OP End Frame,,850,800,3000,3000,3000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA Peak Threshold,,10,0,20,10,28,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA Distance Between,,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA Index 3rd Peak,,2951,656,911,829,589,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty
OP Peak Threshold,0314_P02,-15,-20,-15,-15,-25,-10,-20,-20,-20,-20,NA,-14,-15,-20,-15,-15,-20,-15,-22,-20
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10
OP Index 3rd Peak,,270,105,114,283,158,202,138,130,40,57,NA,375,109,270,175,91,83,106,103,144
OP End Frame,,800,800,3000,3000,3000,2500,2000,700,900,1300,NA,800,1300,3000,1600,3000,250,350,950,900
MA Peak Threshold,,25,40,30,20,25,30,30,30,30,30,NA,30,30,20,25,30,30,21,20,20
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10
MA Index 3rd Peak,,2483,1069,600,1630,861,1598,495,559,525,557,NA,1301,1062,1222,673,534,355,3338,1195,751
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty
OP Peak Threshold,0314_P03,-10,0,-10,-8,-8,-11,-20,-10,-15,-10,-15,-15,-20,0,-20,-15,-10,-10,-5,-10
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10
OP Index 3rd Peak,,97,100,252,221,189,271,145,100,160,149,244,199,325,234,306,136,71,138,106,81
OP End Frame,,1250,800,3000,3500,2000,3500,1400,1600,1300,1900,2300,2500,1700,1800,1100,3000,1100,1100,700,900
MA Peak Threshold,,25,20,30,28,25,18,15,25,20,20,30,25,25,30,20,25,30,30,20,20
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MA Index 3rd Peak,,726,743,810,718,805,932,336,507,1078,1362,917,560,743,971,518,686,637,9723,489,513
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty
OP Peak Threshold,0315_P04,-15,0,-5,10,-5,-5,-13,-5,NA,-20,NA,-5,-10,-10,-10,-20,-5,-5,-15,-15
OP Distance Between,,10,10,10,10,10,10,10,10,NA,10,NA,10,10,10,10,10,10,10,10,10
OP Index 3rd Peak,,125,58,151,490,139,135,76,20,NA,41,NA,22,422,139,92,75,98,17,62,5
OP End Frame,,600,700,2000,3500,2000,2500,1000,1000,NA,1200,NA,1500,1500,1600,1500,2800,480,75,650,900
MA Peak Threshold,,20,30,40,50,35,35,25,40,NA,25,NA,35,35,30,30,30,40,35,25,27
MA Distance Between,,10,10,10,10,10,10,10,10,NA,10,NA,10,10,10,10,10,10,10,10,10
MA Index 3rd Peak,,2659,1719,728,3506,1497,876,690,806,NA,929,NA,894,2879,1073,787,152,3270,7048,800,1395
